CVE_MUNICIPIO,MUNICIPIO,CVE_ESTADO
1001,Aguascalientes,1
1002,Asientos,1
1003,Calvillo,1
1004,Cosio,1
1005,Jesus Maria (Aguascalientes),1
1006,Pabellon De Arteaga,1
1007,Rincon De Romos,1
1008,San Jose De Gracia,1
1009,Tepezala,1
1010,El Llano,1
1011,San Francisco De Los Romo,1
2001,Ensenada,2
2002,Mexicali,2
2003,Tecate,2
2004,Tijuana,2
2005,Playas De Rosarito,2
3001,Comondu,3
3002,Mulege,3
3003,La Paz,3
3008,Los Cabos,3
3009,Loreto (Baja California Sur),3
4001,Calkini,4
4002,Campeche,4
4003,Ciudad Del Carmen,4
4004,Champoton,4
4005,Hecelchakan,4
4006,Hopelchen,4
4007,Palizada,4
4008,Tenabo,4
4009,Escarcega,4
4010,Calakmul,4
4011,Candelaria,4
5001,Abasolo (Coahuila),5
5002,Acuña,5
5003,Allende (Coahuila),5
5004,Arteaga,5
5005,Candela,5
5006,Castaños,5
5007,Cuatro Cienegas,5
5008,Escobedo,5
5009,Francisco I. Madero (Coahuila),5
5010,Frontera,5
5011,General Cepeda,5
5012,Guerrero (Coahuila),5
5013,Hidalgo (Coahuila),5
5014,Jimenez (Coahuila),5
5015,Juarez (Coahuila),5
5016,Lamadrid,5
5017,Matamoros (Coahuila),5
5018,Monclova,5
5019,Morelos (Coahuila),5
5020,Muzquiz,5
5021,Nadadores,5
5022,Nava,5
5023,Ocampo (Coahuila),5
5024,Parras,5
5025,Piedras Negras,5
5026,Progreso (Coahuila),5
5027,Ramos Arizpe,5
5028,Sabinas,5
5029,Sacramento,5
5030,Saltillo,5
5031,San Buenaventura,5
5032,San Juan De Sabinas,5
5033,San Pedro,5
5034,Sierra Mojada,5
5035,Torreon,5
5036,Viesca,5
5037,Villa Union,5
5038,Zaragoza (Coahuila),5
6001,Armeria,6
6002,Colima,6
6003,Comala,6
6004,Coquimatlan,6
6005,Cuauhtemoc (Colima),6
6006,Ixtlahuacan,6
6007,Manzanillo,6
6008,Minatitlan (Colima),6
6009,Tecoman,6
6010,Villa De Alvarez,6
7001,Acacoyagua,7
7002,Acala,7
7003,Acapetahua,7
7004,Altamirano,7
7005,Amatan,7
7006,Amatenango De La Frontera,7
7007,Amatenango Del Valle,7
7008,Angel Albino Corzo,7
7009,Arriaga,7
7010,Bejucal De Ocampo,7
7011,Bella Vista,7
7012,Berriozabal,7
7013,Bochil,7
7014,El Bosque,7
7015,Cacahoatan,7
7016,Catazaja,7
7017,Cintalapa,7
7018,Coapilla,7
7019,Comitan De Dominguez,7
7020,La Concordia,7
7021,Copainala,7
7022,Chalchihuitan,7
7023,Chamula,7
7024,Chanal,7
7025,Chapultenango,7
7026,Chenalho,7
7027,Chiapa De Corzo,7
7028,Chiapilla,7
7029,Chicoasen,7
7030,Chicomuselo,7
7031,Chilon,7
7032,Escuintla,7
7033,Francisco Leon,7
7034,Frontera Comalapa,7
7035,Frontera Hidalgo,7
7036,La Grandeza,7
7037,Huehuetan,7
7038,Huixtan,7
7039,Huitiupan,7
7040,Huixtla,7
7041,La Independencia,7
7042,Ixhuatan,7
7043,Ixtacomitan,7
7044,Ixtapa,7
7045,Ixtapangajoya,7
7046,Jiquipilas,7
7047,Jitotol,7
7048,Juarez (Chiapas),7
7049,Larrainzar,7
7050,La Libertad,7
7051,Mapastepec,7
7052,Las Margaritas,7
7053,Mazapa De Madero,7
7054,Mazatan (Chiapas),7
7055,Metapa,7
7056,Mitontic,7
7057,Motozintla,7
7058,Nicolas Ruiz,7
7059,Ocosingo,7
7060,Ocotepec (Chiapas),7
7061,Ocozocoautla De Espinosa,7
7062,Ostuacan,7
7063,Osumacinta,7
7064,Oxchuc,7
7065,Palenque,7
7066,Pantelho,7
7067,Pantepec (Chiapas),7
7068,Pichucalco,7
7069,Pijijiapan,7
7070,El Porvenir,7
7071,Villa Comaltitlan,7
7072,Pueblo Nuevo Solistahuacan,7
7073,Rayon (Chiapas),7
7074,Reforma,7
7075,Las Rosas,7
7076,Sabanilla,7
7077,Salto De Agua,7
7078,San Cristobal De Las Casas,7
7079,San Fernando (Chiapas),7
7080,Siltepec,7
7081,Simojovel,7
7082,Sitala,7
7083,Socoltenango,7
7084,Solosuchiapa,7
7085,Soyalo,7
7086,Suchiapa,7
7087,Suchiate,7
7088,Sunuapa,7
7089,Tapachula,7
7090,Tapalapa,7
7091,Tapilula,7
7092,Tecpatan,7
7093,Tenejapa,7
7094,Teopisca,7
7096,Tila,7
7097,Tonala (Chiapas),7
7098,Totolapa,7
7099,La Trinitaria,7
7100,Tumbala,7
7101,Tuxtla Gutierrez,7
7102,Tuxtla Chico,7
7103,Tuzantan,7
7104,Tzimol,7
7105,Union Juarez,7
7106,Venustiano Carranza (Chiapas),7
7107,Villa Corzo,7
7108,Villaflores,7
7109,Yajalon,7
7110,San Lucas (Chiapas),7
7111,Zinacantan,7
7112,San Juan Cancuc,7
7113,Aldama,7
7114,Benemerito De Las Americas,7
7115,Maravilla Tenejapa,7
7116,Marques De Comillas,7
7117,Montecristo De Guerrero,7
7118,San Andres Duraznal,7
7119,Santiago El Pinar,7
7120,Capitan Luis Angel Vidal,7
7121,Rincon Chamula San Pedro,7
7122,El Parral,7
7123,Emiliano Zapata (Chiapas),7
7124,Mezcalapa,7
8001,Ahumada,8
8002,Aldama (Chihuahua),8
8003,Allende (Chihuahua),8
8004,Aquiles Serdan,8
8005,Ascension,8
8006,Bachiniva,8
8007,Balleza,8
8008,Batopilas,8
8009,Bocoyna,8
8010,Buenaventura,8
8011,Camargo (Chihuahua),8
8012,Carichi,8
8013,Casas Grandes,8
8014,Coronado,8
8015,Coyame Del Sotol,8
8016,La Cruz,8
8017,Cuauhtemoc (Chihuahua),8
8018,Cusihuiriachi,8
8019,Chihuahua,8
8020,Chinipas,8
8021,Delicias,8
8022,Dr. Belisario Dominguez,8
8023,Galeana (Chihuahua),8
8024,Santa Isabel,8
8025,Gomez Farias (Chihuahua),8
8026,Gran Morelos,8
8027,Guachochi,8
8028,Guadalupe (Chihuahua),8
8029,Guadalupe y Calvo,8
8030,Guazapares,8
8031,Guerrero (Chihuahua),8
8032,Hidalgo Del Parral,8
8033,Huejotitan,8
8034,Ignacio Zaragoza,8
8035,Janos,8
8036,Jimenez (Chihuahua),8
8037,Juarez (Chihuahua),8
8038,Julimes,8
8039,Lopez,8
8040,Madera,8
8041,Maguarichi,8
8042,Manuel Benavides,8
8043,Matachi,8
8044,Matamoros (Chihuahua),8
8045,Meoqui,8
8046,Morelos (Chihuahua),8
8047,Moris,8
8048,Namiquipa,8
8049,Nonoava,8
8050,Nuevo Casas Grandes,8
8051,Ocampo (Chihuahua),8
8052,Ojinaga,8
8053,Praxedis G. Guerrero,8
8054,Riva Palacio,8
8055,Rosales,8
8056,Rosario (Chihuahua),8
8057,San Francisco De Borja,8
8058,San Francisco De Conchos,8
8059,San Francisco Del Oro,8
8060,Santa Barbara,8
8061,Satevo,8
8062,Saucillo,8
8063,Temosachic,8
8064,El Tule,8
8065,Urique,8
8066,Uruachi,8
8067,Valle De Zaragoza,8
9002,Azcapotzalco,9
9003,Coyoacan,9
9004,Cuajimalpa De Morelos,9
9005,Gustavo A. Madero,9
9006,Iztacalco,9
9007,Iztapalapa,9
9008,La Magdalena Contreras,9
9009,Milpa Alta,9
9010,Alvaro Obregon (DF),9
9011,Tlahuac,9
9012,Tlalpan,9
9013,Xochimilco,9
9014,Benito Juarez (DF),9
9015,Cuauhtemoc (DF),9
9016,Miguel Hidalgo,9
9017,Venustiano Carranza (DF),9
10001,Canatlan,10
10002,Canelas,10
10003,Coneto De Comonfort,10
10004,Cuencame,10
10005,Durango,10
10006,General Simon Bolivar,10
10007,Gomez Palacio (Durango),10
10008,Guadalupe Victoria (Durango),10
10009,Guanacevi,10
10010,Hidalgo (Durango),10
10011,Inde,10
10012,Lerdo,10
10013,Mapimi,10
10014,Mezquital,10
10015,Nazas,10
10016,Nombre De Dios,10
10017,Ocampo (Durango),10
10018,El Oro (Durango),10
10019,Otaez,10
10020,Panuco De Coronado,10
10021,Peñon Blanco,10
10022,Poanas,10
10023,Pueblo Nuevo (Durango),10
10024,Rodeo,10
10025,San Bernardo,10
10026,San Dimas,10
10027,San Juan de Guadalupe,10
10028,San Juan Del Rio (Durango),10
10029,San Luis Del Cordero,10
10030,San Pedro Del Gallo,10
10031,Santa Clara,10
10032,Santiago Papasquiaro,10
10033,Suchil,10
10034,Tamazula,10
10035,Tepehuanes,10
10036,Tlahualilo,10
10037,Topia,10
10038,Vicente Guerrero (Durango),10
10039,Nuevo Ideal,10
11001,Abasolo (Guanajuato),11
11002,Acambaro,11
11003,San Miguel De Allende,11
11004,Apaseo El Alto,11
11005,Apaseo El Grande,11
11006,Atarjea,11
11007,Celaya,11
11008,Manuel Doblado,11
11009,Comonfort,11
11010,Coroneo,11
11011,Cortazar,11
11012,Cueramaro,11
11013,Doctor Mora,11
11014,Dolores Hidalgo Cuna de la Independencia Nacional,11
11015,Guanajuato,11
11016,Huanimaro,11
11017,Irapuato,11
11018,Jaral Del Progreso,11
11019,Jerecuaro,11
11020,Leon,11
11021,Moroleon,11
11022,Ocampo (Guanajuato),11
11023,Penjamo,11
11024,Pueblo Nuevo (Guanajuato),11
11025,Purisima Del Rincon,11
11026,Romita,11
11027,Salamanca,11
11028,Salvatierra,11
11029,San Diego De La Union,11
11030,San Felipe (Guanajuato),11
11031,San Francisco Del Rincon,11
11032,San Jose Iturbide,11
11033,San Luis De La Paz,11
11034,Santa Catarina (Guanajuato),11
11035,Santa Cruz De Juventino Rosas,11
11036,Santiago Maravatio,11
11037,Silao de la Victoria,11
11038,Tarandacuao,11
11039,Tarimoro,11
11040,Tierra Blanca (Guanajuato),11
11041,Uriangato,11
11042,Valle De Santiago,11
11043,Victoria (Guanajuato),11
11044,Villagran (Guanajuato),11
11045,Xichu,11
11046,Yuriria,11
12001,Acapulco De Juarez,12
12002,Ahuacuotzingo,12
12003,Ajuchitlan Del Progreso,12
12004,Alcozauca De Guerrero,12
12005,Alpoyeca,12
12006,Apaxtla,12
12007,Arcelia,12
12008,Atenango Del Rio,12
12009,Atlamajalcingo Del Monte,12
12010,Atlixtac,12
12011,Atoyac De Alvarez,12
12012,Ayutla De Los Libres,12
12013,Azoyu,12
12014,Benito Juarez (Guerrero),12
12015,Buenavista De Cuellar,12
12016,Coahuayutla De Jose Maria Izazaga,12
12017,Cocula (Guerrero),12
12018,Copala,12
12019,Copalillo,12
12020,Copanatoyac,12
12021,Coyuca De Benitez,12
12022,Coyuca De Catalan,12
12023,Cuajinicuilapa,12
12024,Cualac,12
12025,Cuautepec,12
12026,Cuetzala Del Progreso,12
12027,Cutzamala De Pinzon,12
12028,Chilapa De Alvarez,12
12029,Chilpancingo De Los Bravo,12
12030,Florencio Villarreal,12
12031,General Canuto A. Neri,12
12032,General Heliodoro Castillo,12
12033,Huamuxtitlan,12
12034,Huitzuco De Los Figueroa,12
12035,Iguala De La Independencia,12
12036,Igualapa,12
12037,Ixcateopan De Cuauhtemoc,12
12038,Zihuatanejo De Azueta,12
12039,Juan R. Escudero,12
12040,Leonardo Bravo,12
12041,Malinaltepec,12
12042,Martir De Cuilapan,12
12043,Metlatonoc,12
12044,Mochitlan,12
12045,Olinala,12
12046,Ometepec,12
12047,Pedro Ascencio Alquisiras,12
12048,Petatlan,12
12049,Pilcaya,12
12050,Pungarabato,12
12051,Quechultenango,12
12052,San Luis Acatlan,12
12053,San Marcos (Guerrero),12
12054,San Miguel Totolapan,12
12055,Taxco De Alarcon,12
12056,Tecoanapa,12
12057,Tecpan De Galeana,12
12058,Teloloapan,12
12059,Tepecoacuilco De Trujano,12
12060,Tetipac,12
12061,Tixtla De Guerrero,12
12062,Tlacoachistlahuaca,12
12063,Tlacoapa,12
12064,Tlalchapa,12
12065,Tlalixtaquilla De Maldonado,12
12066,Tlapa De Comonfort,12
12067,Tlapehuala,12
12068,La Union De Isidoro Montes De Oca,12
12069,Xalpatlahuac,12
12070,Xochihuehuetlan,12
12071,Xochistlahuaca,12
12072,Zapotitlan Tablas,12
12073,Zirandaro,12
12074,Zitlala,12
12075,Eduardo Neri,12
12076,Acatepec,12
12077,Marquelia,12
12078,Cochoapa El Grande,12
12079,Jose Joaquin De Herrera,12
12080,Juchitan,12
12081,Iliatenco,12
13001,Acatlan (Hidalgo),13
13002,Acaxochitlan,13
13003,Actopan (Hidalgo),13
13004,Agua Blanca De Iturbide,13
13005,Ajacuba,13
13006,Alfajayucan,13
13007,Almoloya,13
13008,Apan,13
13009,El Arenal (Hidalgo),13
13010,Atitalaquia,13
13011,Atlapexco,13
13012,Atotonilco El Grande,13
13013,Atotonilco De Tula,13
13014,Calnali,13
13015,Cardonal,13
13016,Cuautepec De Hinojosa,13
13017,Chapantongo,13
13018,Chapulhuacan,13
13019,Chilcuautla,13
13020,Eloxochitlan (Hidalgo),13
13021,Emiliano Zapata (Hidalgo),13
13022,Epazoyucan,13
13023,Francisco I. Madero (Hidalgo),13
13024,Huasca De Ocampo,13
13025,Huautla,13
13026,Huazalingo,13
13027,Huehuetla (Hidalgo),13
13028,Huejutla De Reyes,13
13029,Huichapan,13
13030,Ixmiquilpan,13
13031,Jacala De Ledezma,13
13032,Jaltocan,13
13033,Juarez Hidalgo,13
13034,Lolotla,13
13035,Metepec (Hidalgo),13
13036,San Agustin Metzquititlan,13
13037,Metztitlan,13
13038,Mineral Del Chico,13
13039,Mineral Del Monte,13
13040,La Mision,13
13041,Mixquiahuala De Juarez,13
13042,Molango De Escamilla,13
13043,Nicolas Flores,13
13044,Nopala De Villagran,13
13045,Omitlan De Juarez,13
13046,San Felipe Orizatlan,13
13047,Pacula,13
13048,Pachuca De Soto,13
13049,Pisaflores,13
13050,Progreso De Obregon,13
13051,Mineral De La Reforma,13
13052,San Agustin Tlaxiaca,13
13053,San Bartolo Tutotepec,13
13054,San Salvador,13
13055,Santiago De Anaya,13
13056,Santiago Tulantepec De Lugo Guerrero,13
13057,Singuilucan,13
13058,Tasquillo,13
13059,Tecozautla,13
13060,Tenango De Doria,13
13061,Tepeapulco,13
13062,Tepehuacan De Guerrero,13
13063,Tepeji Del Rio De Ocampo,13
13064,Tepetitlan,13
13065,Tetepango,13
13066,Villa De Tezontepec,13
13067,Tezontepec De Aldama,13
13068,Tianguistengo,13
13069,Tizayuca,13
13070,Tlahuelilpan,13
13071,Tlahuiltepa,13
13072,Tlanalapa,13
13073,Tlanchinol,13
13074,Tlaxcoapan,13
13075,Tolcayuca,13
13076,Tula De Allende,13
13077,Tulancingo De Bravo,13
13078,Xochiatipan,13
13079,Xochicoatlan,13
13080,Yahualica,13
13081,Zacualtipan De Angeles,13
13082,Zapotlan De Juarez,13
13083,Zempoala,13
13084,Zimapan,13
14001,Acatic,14
14002,Acatlan De Juarez,14
14003,Ahualulco De Mercado,14
14004,Amacueca,14
14005,Amatitan,14
14006,Ameca,14
14007,San Juanito De Escobedo,14
14008,Arandas,14
14009,El Arenal (Jalisco),14
14010,Atemajac De Brizuela,14
14011,Atengo,14
14012,Atenguillo,14
14013,Atotonilco El Alto,14
14014,Atoyac,14
14015,Autlan De Navarro,14
14016,Ayotlan,14
14017,Ayutla,14
14018,La Barca,14
14019,Bolaños,14
14020,Cabo Corrientes,14
14021,Casimiro Castillo,14
14022,Cihuatlan,14
14023,Zapotlan El Grande,14
14024,Cocula (Jalisco),14
14025,Colotlan,14
14026,Concepcion De Buenos Aires,14
14027,Cuautitlan De Garcia Barragan,14
14028,Cuautla (Jalisco),14
14029,Cuquio,14
14030,Chapala,14
14031,Chimaltitan,14
14032,Chiquilistlan,14
14033,Degollado,14
14034,Ejutla,14
14035,Encarnacion De Diaz,14
14036,Etzatlan,14
14037,El Grullo,14
14038,Guachinango,14
14039,Guadalajara,14
14040,Hostotipaquillo,14
14041,Huejucar,14
14042,Huejuquilla El Alto,14
14043,La Huerta,14
14044,Ixtlahuacan De Los Membrillos,14
14045,Ixtlahuacan Del Rio,14
14046,Jalostotitlan,14
14047,Jamay,14
14048,Jesus Maria (Jalisco),14
14049,Jilotlan De Los Dolores,14
14050,Jocotepec,14
14051,Juanacatlan,14
14052,Juchitlan,14
14053,Lagos De Moreno,14
14054,El Limon,14
14055,Magdalena (Jalisco),14
14056,Santa Maria Del Oro (Jalisco),14
14057,La Manzanilla De La Paz,14
14058,Mascota,14
14059,Mazamitla,14
14060,Mexticacan,14
14061,Mezquitic,14
14062,Mixtlan,14
14063,Ocotlan,14
14064,Ojuelos De Jalisco,14
14065,Pihuamo,14
14066,Poncitlan,14
14067,Puerto Vallarta,14
14068,Villa Purificacion,14
14069,Quitupan,14
14070,El Salto,14
14071,San Cristobal De La Barranca,14
14072,San Diego De Alejandria,14
14073,San Juan De Los Lagos,14
14074,San Julian,14
14075,San Marcos (Jalisco),14
14076,San Martin De Bolaños,14
14077,San Martin Hidalgo,14
14078,San Miguel El Alto,14
14079,Gomez Farias (Jalisco),14
14080,San Sebastian Del Oeste,14
14081,Santa Maria De Los Angeles,14
14082,Sayula,14
14083,Tala,14
14084,Talpa De Allende,14
14085,Tamazula De Gordiano,14
14086,Tapalpa,14
14087,Tecalitlan,14
14088,Tecolotlan,14
14089,Techaluta De Montenegro,14
14090,Tenamaxtlan,14
14091,Teocaltiche,14
14092,Teocuitatlan De Corona,14
14093,Tepatitlan De Morelos,14
14094,Tequila (Jalisco),14
14095,Teuchitlan,14
14096,Tizapan El Alto,14
14097,Tlajomulco De Zuñiga,14
14098,Tlaquepaque,14
14099,Toliman (Jalisco),14
14100,Tomatlan (Jalisco),14
14101,Tonala (Jalisco),14
14102,Tonaya,14
14103,Tonila,14
14104,Totatiche,14
14105,Tototlan,14
14106,Tuxcacuesco,14
14107,Tuxcueca,14
14108,Tuxpan (Jalisco),14
14109,Union De San Antonio,14
14110,Union De Tula,14
14111,Valle De Guadalupe,14
14112,Valle De Juarez,14
14113,San Gabriel,14
14114,Villa Corona,14
14115,Villa Guerrero (Jalisco),14
14116,Villa Hidalgo (Jalisco),14
14117,Cañadas De Obregon,14
14118,Yahualica De Gonzalez Gallo,14
14119,Zacoalco De Torres,14
14120,Zapopan,14
14121,Zapotiltic,14
14122,Zapotitlan De Vadillo,14
14123,Zapotlan Del Rey,14
14124,Zapotlanejo,14
14125,San Ignacio Cerro Gordo,14
15001,Acambay,15
15002,Acolman,15
15003,Aculco,15
15004,Almoloya De Alquisiras,15
15005,Almoloya De Juarez,15
15006,Almoloya Del Rio,15
15007,Amanalco,15
15008,Amatepec,15
15009,Amecameca,15
15010,Apaxco,15
15011,Atenco,15
15012,Atizapan,15
15013,Atizapan De Zaragoza,15
15014,Atlacomulco,15
15015,Atlautla,15
15016,Axapusco,15
15017,Ayapango,15
15018,Calimaya,15
15019,Capulhuac,15
15020,Coacalco de Berriozabal,15
15021,Coatepec Harinas,15
15022,Cocotitlan,15
15023,Coyotepec (Edomex),15
15024,Cuautitlan,15
15025,Chalco,15
15026,Chapa De Mota,15
15027,Chapultepec,15
15028,Chiautla (Edomex),15
15029,Chicoloapan,15
15030,Chiconcuac,15
15031,Chimalhuacan,15
15032,Donato Guerra,15
15033,Ecatepec De Morelos,15
15034,Ecatzingo,15
15035,Huehuetoca,15
15036,Hueypoxtla,15
15037,Huixquilucan,15
15038,Isidro Fabela,15
15039,Ixtapaluca,15
15040,Ixtapan De La Sal,15
15041,Ixtapan Del Oro,15
15042,Ixtlahuaca,15
15043,Xalatlaco,15
15044,Jaltenco,15
15045,Jilotepec (Edomex),15
15046,Jilotzingo,15
15047,Jiquipilco,15
15048,Jocotitlan,15
15049,Joquicingo,15
15050,Juchitepec,15
15051,Lerma,15
15052,Malinalco,15
15053,Melchor Ocampo (Edomex),15
15054,Metepec (Edomex),15
15055,Mexicaltzingo,15
15056,Morelos (Edomex),15
15057,Naucalpan De Juarez,15
15058,Nezahualcoyotl,15
15059,Nextlalpan,15
15060,Nicolas Romero,15
15061,Nopaltepec,15
15062,Ocoyoacac,15
15063,Ocuilan,15
15064,El Oro (Edomex),15
15065,Otumba,15
15066,Otzoloapan,15
15067,Otzolotepec,15
15068,Ozumba,15
15069,Papalotla,15
15070,Los Reyes La Paz,15
15071,Polotitlan,15
15072,Rayon (Edomex),15
15073,San Antonio La Isla,15
15074,San Felipe Del Progreso,15
15075,San Martin De Las Piramides,15
15076,San Mateo Atenco,15
15077,San Simon De Guerrero,15
15078,Santo Tomas,15
15079,Soyaniquilpan De Juarez,15
15080,Sultepec,15
15081,Tecamac,15
15082,Tejupilco,15
15083,Temamatla,15
15084,Temascalapa,15
15085,Temascalcingo,15
15086,Temascaltepec,15
15087,Temoaya,15
15088,Tenancingo (Edomex),15
15089,Tenango Del Aire,15
15090,Tenango Del Valle,15
15091,Teoloyucan,15
15092,Teotihuacan,15
15093,Tepetlaoxtoc,15
15094,Tepetlixpa,15
15095,Tepotzotlan,15
15096,Tequixquiac,15
15097,Texcaltitlan,15
15098,Texcalyacac,15
15099,Texcoco,15
15100,Tezoyuca,15
15101,Tianguistenco,15
15102,Timilpan,15
15103,Tlalmanalco,15
15104,Tlalnepantla De Baz,15
15105,Tlatlaya,15
15106,Toluca,15
15107,Tonatico,15
15108,Tultepec,15
15109,Tultitlan,15
15110,Valle De Bravo,15
15111,Villa De Allende,15
15112,Villa Del Carbon,15
15113,Villa Guerrero (Edomex),15
15114,Villa Victoria,15
15115,Xonacatlan,15
15116,Zacazonapan,15
15117,Zacualpan (Edomex),15
15118,Zinacantepec,15
15119,Zumpahuacan,15
15120,Zumpango,15
15121,Cuautitlan Izcalli,15
15122,Valle De Chalco Solidaridad,15
15123,Luvianos,15
15124,San Jose Del Rincon,15
15125,Tonanitla,15
16001,Acuitzio,16
16002,Aguililla,16
16003,Alvaro Obregon (Michoacan),16
16004,Angamacutiro,16
16005,Angangueo,16
16006,Apatzingan,16
16007,Aporo,16
16008,Aquila (Michoacan),16
16009,Ario,16
16010,Arteaga (Michoacan),16
16011,Briseñas,16
16012,Buenavista,16
16013,Caracuaro,16
16014,Coahuayana,16
16015,Coalcoman De Vazquez Pallares,16
16016,Coeneo,16
16017,Contepec,16
16018,Copandaro,16
16019,Cotija,16
16020,Cuitzeo,16
16021,Charapan,16
16022,Charo,16
16023,Chavinda,16
16024,Cheran,16
16025,Chilchota,16
16026,Chinicuila,16
16027,Chucandiro,16
16028,Churintzio,16
16029,Churumuco,16
16030,Ecuandureo,16
16031,Epitacio Huerta,16
16032,Erongaricuaro,16
16033,Gabriel Zamora,16
16034,Hidalgo (Michoacan),16
16035,La Huacana,16
16036,Huandacareo,16
16037,Huaniqueo,16
16038,Huetamo,16
16039,Huiramba,16
16040,Indaparapeo,16
16041,Irimbo,16
16042,Ixtlan,16
16043,Jacona,16
16044,Jimenez (Michoacan),16
16045,Jiquilpan,16
16046,Juarez (Michoacan),16
16047,Jungapeo,16
16048,Lagunillas (Michoacan),16
16049,Madero,16
16050,Maravatio,16
16051,Marcos Castellanos,16
16052,Lazaro Cardenas (Michoacan),16
16053,Morelia,16
16054,Morelos (Michoacan),16
16055,Mugica,16
16056,Nahuatzen,16
16057,Nocupetaro,16
16058,Nuevo Parangaricutiro,16
16059,Nuevo Urecho,16
16060,Numaran,16
16061,Ocampo (Michoacan),16
16062,Pajacuaran,16
16063,Panindicuaro,16
16064,Paracuaro,16
16065,Paracho,16
16066,Patzcuaro,16
16067,Penjamillo,16
16068,Periban,16
16069,La Piedad,16
16070,Purepero,16
16071,Puruandiro,16
16072,Querendaro,16
16073,Quiroga,16
16074,Cojumatlan De Regules,16
16075,Los Reyes (Michoacan),16
16076,Sahuayo,16
16077,San Lucas (Michoacan),16
16078,Santa Ana Maya,16
16079,Salvador Escalante,16
16080,Senguio,16
16081,Susupuato,16
16082,Tacambaro,16
16083,Tancitaro,16
16084,Tangamandapio,16
16085,Tangancicuaro,16
16086,Tanhuato,16
16087,Taretan,16
16088,Tarimbaro,16
16089,Tepalcatepec,16
16090,Tingambato,16
16091,Tingüindin,16
16092,Tiquicheo De Nicolas Romero,16
16093,Tlalpujahua,16
16094,Tlazazalca,16
16095,Tocumbo,16
16096,Tumbiscatio,16
16097,Turicato,16
